basho,rank,rikishi,height,weight
1992.09,O1e,Kirishima,187,127
1992.09,O1w,Konishiki,187,264
1992.09,O2eHD,Akebono,204,200
1992.09,S1e,Akinoshima,176,140
1992.09,S1w,Musashimaru,190,177
1992.09,S2wHD,Mitoizumi,195,183
1992.09,K1e,Misugisato,185,153
1992.09,K1w,Takahanada,186,130
1992.09,K2eHD,Kyokudozan,183,104
1992.09,M1e,Kotonishiki,177,140
1992.09,M1w,Toyonoumi,190,196
1992.09,M2e,Takatoriki,181,144
1992.09,M2w,Daishoyama,182,179
1992.09,M3e,Kotofuji,192,145
1992.09,M3w,Oginohana,189,146
1992.09,M4e,Kotonowaka,192,163
1992.09,M4w,Kiraiho,188,153
1992.09,M5e,Kirinishiki,188,180
1992.09,M5w,Takanonami,196,152
1992.09,M6e,Mainoumi,171.5,97
1992.09,M6w,Kushimaumi,188,190
1992.09,M7e,Takamisugi,179,149
1992.09,M7w,Tokitsunada,188,174
1992.09,M8e,Terao,185,115
1992.09,M8w,Daishoho,188,144
1992.09,M9e,Wakahanada,180,126
1992.09,M9w,Kitakachidoki,184,146
1992.09,M10e,Kototsubaki,188,145
1992.09,M10w,Kotogaume,180,160
1992.09,M11e,Tochinowaka,191,156
1992.09,M11w,Ryogoku,185,178
1992.09,M12e,Wakanoyama,180,156
1992.09,M12w,Tatsuhikari,192,190
1992.09,M13e,Tomoefuji,192,149
1992.09,M13w,Wakashoyo,181,159
1992.09,M14e,Tamakairiki,183,141
1992.09,M14w,Daizen,189,146
1992.09,M15e,Naminohana,178,130
1992.09,M15w,Kotoinazuma,181,133
1992.09,M16e,Asahisato,187,135
