basho,day,rank1,shikona1,result1,win1,kimarite,win2,rank2,shikona2,result2
1997.11,1,M15w,Kushimaumi,0-1 (3-12),0,yorikiri,1,M14w,Kotoryu,1-0 (9-6)
1997.11,1,M14e,Konishiki,0-1 (5-9),0,okuridashi,1,M13w,Asanowaka,1-0 (8-7)
1997.11,1,M13e,Akinoshu,1-0 (9-6),1,sukuinage,0,M12w,Minatofuji,0-1 (9-6)
1997.11,1,M12e,Yamato,1-0 (7-8),1,oshidashi,0,M11w,Kitakachidoki,0-1 (8-7)
1997.11,1,M11e,Mitoizumi,1-0 (8-7),1,yorikiri,0,M10w,Shikishima,0-1 (8-7)
1997.11,1,M10e,Aogiyama,1-0 (8-7),1,hatakikomi,0,M9w,Terao,0-1 (6-9)
1997.11,1,M9e,Mainoumi,0-1 (5-10),0,tsuridashi,1,M8w,Kyokushuzan,1-0 (9-6)
1997.11,1,M8e,Kotonowaka,1-0 (9-6),1,yorikiri,0,M7w,Wakanojo,0-1 (5-10)
1997.11,1,M7e,Ganyu,1-0 (7-8),1,yorikiri,0,M6w,Kotoinazuma,0-1 (5-10)
1997.11,1,M6e,Musoyama,0-1 (11-4),0,okuridashi,1,M5w,Higonoumi,1-0 (6-9)
1997.11,1,M5e,Chiyotaikai,0-1 (6-9),0,uwatenage,1,M4w,Tochinowaka,1-0 (3-12)
1997.11,1,M4e,Kotonishiki,1-0 (8-7),1,sukuinage,0,K1w,Akinoshima,0-1 (7-8)
1997.11,1,M3e,Oginishiki,1-0 (6-9),1,yorikiri,0,S1w,Dejima,0-1 (5-3-7)
1997.11,1,M3w,Kaio,1-0 (8-7),1,hikiotoshi,0,S2w,Takatoriki,0-1 (6-9)
1997.11,1,S1e,Tochiazuma,1-0 (7-8),1,oshidashi,0,M2w,Hamanoshima,0-1 (4-11)
1997.11,1,O2e,Wakanohana,1-0 (10-5),1,shitatenage,0,M2e,Asahiyutaka,0-1 (6-9)
1997.11,1,M1w,Tosanoumi,0-1 (7-8),0,kotenage,1,O1w,Takanonami,1-0 (14-1)
1997.11,1,O1e,Musashimaru,1-0 (12-3),1,oshitaoshi,0,M1e,Tamakasuga,0-1 (4-11)
1997.11,1,Y1e,Takanohana,1-0 (14-1),1,hikiotoshi,0,K1e,Tochinonada,0-1 (6-9)
1997.11,2,M13e,Akinoshu,1-1 (9-6),0,oshidashi,1,M14w,Kotoryu,2-0 (9-6)
1997.11,2,M15w,Kushimaumi,1-1 (3-12),1,hikiotoshi,0,M13w,Asanowaka,1-1 (8-7)
1997.11,2,M14e,Konishiki,0-2 (5-9),0,yorikiri,1,M12w,Minatofuji,1-1 (9-6)
1997.11,2,M12e,Yamato,1-1 (7-8),0,yorikiri,1,M10w,Shikishima,1-1 (8-7)
